Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price,Price_Lac,Area_Sqft,Price/Sqft
Mumbai,Park in Malad West,Flat,2 BHK,644 sqft,Furnish,New Property,Possession by Dec '24,,₹ 1.49 Cr,149.0,644.0,23136.65
Mumbai,Bliss in Kurla West,Flat,1 BHK,320 sqft,Unfurnish,New Property,Possession by Jan '23,,₹ 89 Lac,89.0,320.0,27812.5
Mumbai,Aspire in Malad West,Flat,1 BHK,442 sqft,Unfurnish,Old Property,Possession by May '22,,₹ 1 Cr,100.0,442.0,22624.43
Mumbai,Dwarka in Ghatkopar East,Flat,1 BHK,351 sqft,Unfurnish,New Property,Possession by Jun '22,,₹ 89.5 Lac,89.5,351.0,25498.58
Mumbai,Lagoon in Jankalyan Nagar,Flat,2 BHK,700 sqft,Unfurnish,New Property,Possession by Dec '25,,₹ 1.61 Cr,161.0,700.0,23000.0
Mumbai,Radha Complex in Bhandup West,Flat,2 BHK,630 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.25 Cr,125.0,630.0,19841.27
Mumbai,Sindhi Society Chembur,Flat,1 BHK,355 sqft,Furnish,New Property,Possession by Jun '25,,₹ 85 Lac,85.0,355.0,23943.66
Mumbai,CHS in Kannamwar Nagar 2,Flat,1 BHK,390 sqft,Furnish,New Property,Possession by Jan '23,,₹ 65 Lac,65.0,390.0,16666.67
Mumbai,Empress in Borivali West,Flat,1 BHK,417 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 89 Lac,89.0,417.0,21342.93
Mumbai,Link Road,Flat,1 BHK,333 sqft,Unfurnish,New Property,Possession by May '22,,₹ 65 Lac,65.0,333.0,19519.52
Mumbai,Bliss in Crompton Greaves,Flat,2 BHK,809 sqft,Unfurnish,New Property,Possession by Mar '22,,₹ 1.74 Cr,174.0,809.0,21508.03
Mumbai,Bliss in Kanjurmarg East,Flat,2 BHK,687 sqft,Unfurnish,New Property,Possession by Mar '22,,₹ 1.59 Cr,159.0,687.0,23144.1
Mumbai,Wadala East,Flat,1 BHK,429 sqft,Furnish,Old Property,Ready to Move,,₹ 1.35 Cr,135.0,429.0,31468.53
Mumbai,Chembur,Flat,1 BHK,608 sqft,Unfurnish,New Property,Ready to Move,,₹ 1.15 Cr,114.99999999999999,608.0,18914.47
Mumbai,Avenue in Kanjurmarg East,Flat,3 BHK,800 sqft,Furnish,New Property,Possession by Dec '24,,₹ 1.95 Cr,195.0,800.0,24375.0
Mumbai,Kaatyayni Heights in Andheri East,Flat,1 BHK,412 sqft,Unfurnish,New Property,Possession by Mar '22,,₹ 1.26 Cr,126.0,412.0,30582.52
Mumbai,Ghatkopar East,Flat,2 BHK,572 sqft,Unfurnish,New Property,Possession by Dec '22,,₹ 1.37 Cr,137.0,572.0,23951.05
Mumbai,Kandivali West,Flat,2 BHK,650 sqft,Furnish,Old Property,Possession by Dec '25,,₹ 1.34 Cr,134.0,650.0,20615.38
