Location,Area,Type,BHK,Furnish,Transaction,Status,Price_Lac,Area_Sqft,Price/Sqft
Chennai,Tambaram East,Flat,2.0,Unfurnish,Old Property,Dec 2021,69.0,1260.0,5476.0
Chennai,Mogappair,Flat,2.0,Furnish,Old Property,Dec 2021,57.3,782.0,7320.0
Chennai,Nandivaram Guduvancheri,Flat,2.0,Furnish,Old Property,Dec 2021,30.0,837.0,3584.0
Chennai,Mugalivakkam,Flat,2.0,Unfurnish,Old Property,Jan 2022,60.5,815.0,7423.31
Chennai,Alandur,Flat,3.0,Furnish,Old Property,Dec 2021,79.9,1150.0,6947.0
Chennai,Medavakkam,Flat,2.0,Furnish,Old Property,Dec 2021,60.0,1200.0,5000.0
Chennai,Banu Nagar,Flat,3.0,Unfurnish,Old Property,Dec 2021,70.0,1690.0,4142.0
Chennai,Surapet,Flat,1.0,Unfurnish,New Property,Dec 2021,26.0,425.0,6117.65
Chennai,Ambattur,Flat,2.0,Unfurnish,New Property,Dec 2021,49.0,1015.0,4827.59
Chennai,Tambaram Sanatorium,Flat,3.0,Furnish,Old Property,Dec 2021,82.2,1126.0,7300.18
Chennai,Pallikaranai,Flat,2.0,Furnish,Old Property,Dec 2021,35.0,860.0,4070.0
Chennai,Thirumazhisai,Flat,1.0,Unfurnish,Old Property,Dec 2021,24.3,538.0,4516.73
Chennai,KK Nagar,Flat,2.0,Furnish,New Property,Dec 2021,69.0,660.0,10454.55
Chennai,Thiruporur,Flat,3.0,Furnish,Old Property,Dec 2021,30.0,1095.0,2739.0
Chennai,Poonamalle,Flat,2.0,Unfurnish,Old Property,Dec 2021,56.0,686.0,8163.27
Chennai,Velachery,Flat,2.0,Unfurnish,Old Property,Jan 2022,85.0,840.0,10119.05
Chennai,Unknown,Flat,3.0,Unfurnish,Old Property,Dec 2021,78.0,1278.0,6103.29
Chennai,Unknown,Flat,3.0,Unfurnish,Old Property,Dec 2021,55.0,1251.0,4396.48
Chennai,Pattabiram Chennai Tiruttani Highway,Flat,2.0,Furnish,Old Property,Dec 2021,50.0,1000.0,5000.0
Chennai,Tiruvottiyur,Flat,5.0,Unfurnish,Old Property,Dec 2021,120.0,1635.0,7339.0
Chennai,Poonamalle,Flat,2.0,Unfurnish,Old Property,Dec 2021,51.0,1048.0,4866.0
Chennai,Madipakkam,Flat,1.0,Unfurnish,Old Property,Dec 2021,33.1,675.0,4903.7
Chennai,Maraimalai Nagar,Flat,3.0,Furnish,Old Property,Dec 2021,60.0,1949.0,3078.0
Chennai,Mangadu,Flat,2.0,Furnish,Old Property,Jan 2022,35.0,720.0,4861.11
Chennai,Choolai,Flat,3.0,Unfurnish,Old Property,Dec 2021,139.0,1300.0,10692.31
Chennai,KK Nagar,Flat,2.0,Unfurnish,Old Property,Dec 2021,65.0,495.0,13131.31
Chennai,Ambattur,Flat,3.0,Unfurnish,Old Property,Dec 2021,45.0,1000.0,4500.0
Chennai,Madipakkam,Flat,3.0,Furnish,Old Property,Dec 2021,95.0,1265.0,7509.88
Chennai,West Jafferkhanpet,Flat,2.0,Unfurnish,Old Property,Dec 2021,45.0,746.0,6032.0
Chennai,Thirumullaivoyal,Flat,3.0,Furnish,Old Property,Dec 2021,60.0,850.0,7058.82
Chennai,Habibullah Road,Flat,3.0,Unfurnish,Old Property,Dec 2021,110.00000000000001,1000.0,11000.0
Chennai,Kolapakkam,Flat,3.0,Furnish,New Property,Dec 2021,68.0,1100.0,6181.82
Chennai,Kolapakkam,Flat,2.0,Unfurnish,Old Property,Dec 2021,37.0,720.0,5138.89
Chennai,Pallikaranai,Flat,2.0,Furnish,Old Property,Dec 2021,43.0,725.0,5931.03
Chennai,Ayanambakkam,Flat,3.0,Unfurnish,Old Property,Dec 2021,90.0,1292.0,6965.94
Chennai,Kovilambakkam,Flat,2.0,Furnish,Old Property,Dec 2021,55.0,900.0,6111.11
Chennai,Porur,Flat,3.0,Furnish,Old Property,Dec 2021,138.0,1485.0,9292.93
Chennai,Kazhipattur,Flat,3.0,Unfurnish,Old Property,Dec 2021,52.0,1275.0,4078.0
Chennai,Keelkattalai,Flat,2.0,Unfurnish,Old Property,Dec 2021,52.0,875.0,5942.0
Chennai,Okkiyam Thuraipakkam E Coast Road,Flat,2.0,Furnish,Old Property,Dec 2021,55.4,808.0,6856.44
Chennai,Chettipunyam,Flat,2.0,Furnish,Old Property,Dec 2021,45.0,462.0,9740.26
Chennai,Ambattur Industrial Estate Chennai Bypass Road,Flat,2.0,Unfurnish,Old Property,Dec 2021,95.0,1200.0,7916.67
Chennai,Ayanavaram,Flat,1.0,Unfurnish,Old Property,Dec 2021,40.0,480.0,8333.33
Chennai,Korattur Jawaharlal Nehru Road,Flat,2.0,Unfurnish,Old Property,Dec 2021,85.0,770.0,11038.96
Chennai,Perumbakkam,Flat,2.0,Furnish,Old Property,Dec 2021,47.0,600.0,7833.33
Chennai,Padur Old Mahabalipuram Road,Flat,3.0,Furnish,Old Property,Dec 2021,62.0,950.0,6526.32
Chennai,Besant Nagar,Flat,1.0,Unfurnish,Old Property,Dec 2021,123.0,885.0,14000.0
Chennai,Sithalapakkam,Flat,3.0,Furnish,Old Property,Dec 2021,70.0,1100.0,6363.64
Chennai,Royapuram,Flat,3.0,Furnish,Old Property,Dec 2021,130.0,1000.0,13000.0
Chennai,Iyyappanthangal,Flat,2.0,Furnish,Old Property,Dec 2021,44.0,300.0,14666.67
Chennai,Madhanandapuram Chennai Bypass Road,Flat,2.0,Unfurnish,New Property,Dec 2021,45.4,850.0,5341.18
Chennai,Navalur,Flat,3.0,Furnish,Old Property,Dec 2021,120.0,1400.0,8571.43
Chennai,Vanagaram,Flat,2.0,Unfurnish,New Property,Dec 2021,58.0,1018.0,5697.0
Chennai,Kaspapuram,Flat,2.0,Furnish,Old Property,Dec 2021,35.0,920.0,3804.0
Chennai,Siruseri,Flat,2.0,Unfurnish,Old Property,Dec 2021,40.0,896.0,4464.29
Chennai,Kalavakkam,Flat,2.0,Unfurnish,Old Property,Dec 2021,32.3,898.0,3596.88
Chennai,Tambaram West Tambaram Chennai Bypass Road,Flat,3.0,Furnish,Old Property,Dec 2021,60.0,1294.0,4637.0
Chennai,Kelambakkam Old Mahabalipuram Road,Flat,2.0,Furnish,Old Property,Dec 2021,25.0,636.0,3930.82
Chennai,Kotturpuram,Flat,2.0,Unfurnish,Old Property,Dec 2021,140.0,1240.0,11290.0
Chennai,Pallavaram,Flat,2.0,Furnish,Old Property,Dec 2021,82.0,1122.0,7308.0
